created_at,text,entities
2021-02-19 13:00:22+00:00,"Gear up for a sensational, inspirational, celebrational, Muppetational weekend! All five seasons of #TheMuppetShow,… https://t.co/hGSRqmwH2A","{'hashtags': [{'text': 'TheMuppetShow', 'indices': [100, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hGSRqmwH2A', 'expanded_url': 'https://twitter.com/i/web/status/1362748862600011776', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-18 20:00:01+00:00,"Let’s catch you up. Watch an all-new behind-the-scenes look at Raya and the Last Dragon with Kelly Marie Tran, Awkw… https://t.co/8manrOyKMN","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8manrOyKMN', 'expanded_url': 'https://twitter.com/i/web/status/1362492085610414084', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-18 14:00:01+00:00,"Rest your eyes on this brand-new clip from the seventh episode of @MarvelStudios' #WandaVision, streaming tomorrow… https://t.co/qbM8fCkO3x","{'hashtags': [{'text': 'WandaVision', 'indices': [82, 94]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [66, 80]}], 'urls': [{'url': 'https://t.co/qbM8fCkO3x', 'expanded_url': 'https://twitter.com/i/web/status/1362401485577883657', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
2021-02-16 20:00:00+00:00,"March is going to be a GAME CHANGER. Next month, start streaming @MarvelStudios' The Falcon and the Winter Soldier,… https://t.co/4bzH6c1dij","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [65, 79]}], 'urls': [{'url': 'https://t.co/4bzH6c1dij', 'expanded_url': 'https://twitter.com/i/web/status/1361767306670530561', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-16 16:16:26+00:00,"In the mood for food! Dig into the latest episode of What’s Up, Disney+ with a WandaVision-inspired decades dessert… https://t.co/i2QlZ2CTwj","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/i2QlZ2CTwj', 'expanded_url': 'https://twitter.com/i/web/status/1361711042120667138', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-16 14:01:00+00:00,".@MarvelStudios' ASSEMBLED, a new documentary series of specials, goes behind the scenes of the series and movies o… https://t.co/re6Fwpk5yR","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [1, 15]}], 'urls': [{'url': 'https://t.co/re6Fwpk5yR', 'expanded_url': 'https://twitter.com/i/web/status/1361676957369311235', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-15 18:48:49+00:00,Episode 7️⃣ this Friday‼️ #WandaVision,"{'hashtags': [{'text': 'WandaVision', 'indices': [26, 38]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
2021-02-15 18:48:21+00:00,This new tech is visionary 👓📺 The sixth episode of @MarvelStudios' #WandaVision is now streaming on #DisneyPlus. https://t.co/M0YlqkqZF1,"{'hashtags': [{'text': 'WandaVision', 'indices': [67, 79]}, {'text': 'DisneyPlus', 'indices': [100, 111]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [51, 65]}], 'urls': [], 'media': [{'id': 1361386879698890752, 'id_str': '1361386879698890752', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EuSeJ3ZUcAAQkAT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuSeJ3ZUcAAQkAT.jpg', 'url': 'https://t.co/M0YlqkqZF1', 'display_url': 'pic.twitter.com/M0YlqkqZF1', 'expanded_url': 'https://twitter.com/disneyplus/status/1361386885428350976/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}}}]}"
2021-02-14 19:42:00+00:00,"We Wanda share some #ValentinesDay love with you 💝 

@MarvelStudios' #WandaVision is now streaming on #DisneyPlus.… https://t.co/wOLDWMADrS","{'hashtags': [{'text': 'ValentinesDay', 'indices': [20, 34]}, {'text': 'WandaVision', 'indices': [69, 81]}, {'text': 'DisneyPlus', 'indices': [102, 113]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [53, 67]}], 'urls': [{'url': 'https://t.co/wOLDWMADrS', 'expanded_url': 'https://twitter.com/i/web/status/1361038000466006019', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
2021-02-14 19:41:59+00:00,"We Wanda share some #ValentinesDay love with you 💝 

@MarvelStudios' #WandaVision is now streaming on #DisneyPlus.… https://t.co/are33z88do","{'hashtags': [{'text': 'ValentinesDay', 'indices': [20, 34]}, {'text': 'WandaVision', 'indices': [69, 81]}, {'text': 'DisneyPlus', 'indices': [102, 113]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [53, 67]}], 'urls': [{'url': 'https://t.co/are33z88do', 'expanded_url': 'https://twitter.com/i/web/status/1361037993306247168', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
