created_at,entities
2021-02-09 23:44:59+00:00,"{'hashtags': [{'text': 'CollegeHill', 'indices': [30, 42]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
2021-02-10 01:22:23+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
2021-02-10 17:00:03+00:00,"{'hashtags': [{'text': 'ShrillOnHulu', 'indices': [47, 60]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1359547677613187074, 'id_str': '1359547677613187074', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/Et4VaNtXYAIPmFh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Et4VaNtXYAIPmFh.jpg', 'url': 'https://t.co/Xhhx0hyH2a', 'display_url': 'pic.twitter.com/Xhhx0hyH2a', 'expanded_url': 'https://twitter.com/hulu/status/1359547691445985281/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 666, 'resize': 'fit'}, 'small': {'w': 680, 'h': 442, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 666, 'resize': 'fit'}}}]}"
2021-02-10 18:16:32+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JasmineEmoni', 'name': '3/3♓️', 'id': 762130994, 'id_str': '762130994', 'indices': [0, 13]}], 'urls': []}"
2021-02-10 18:16:51+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'allgigz', 'name': 'Lauren LaShaye', 'id': 29862029, 'id_str': '29862029', 'indices': [0, 8]}], 'urls': []}"
2021-02-10 18:17:48+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Tee_ahh_nee', 'name': 'Melanin X', 'id': 35579893, 'id_str': '35579893', 'indices': [0, 12]}], 'urls': [], 'media': [{'id': 1359567185639665665, 'id_str': '1359567185639665665', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Et4nJuxUcAEa13P.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Et4nJuxUcAEa13P.jpg', 'url': 'https://t.co/WTXGIaGbZt', 'display_url': 'pic.twitter.com/WTXGIaGbZt', 'expanded_url': 'https://twitter.com/hulu/status/1359567257286832128/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 244, 'h': 224, 'resize': 'fit'}, 'small': {'w': 244, 'h': 224, 'resize': 'fit'}, 'large': {'w': 244, 'h': 224, 'resize': 'fit'}}}]}"
2021-02-10 18:18:20+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KohriAmari', 'name': 'King Mari', 'id': 219204111, 'id_str': '219204111', 'indices': [0, 11]}], 'urls': []}"
2021-02-10 18:18:34+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shaainaj', 'name': 'shiz.', 'id': 234252253, 'id_str': '234252253', 'indices': [0, 9]}], 'urls': []}"
2021-02-10 18:18:48+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chauniewaunie', 'name': 'the creator. \U0001fa9e', 'id': 3990939436, 'id_str': '3990939436', 'indices': [0, 14]}], 'urls': []}"
2021-02-10 18:19:05+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stormi_nights', 'name': 'Stormi Giovanni', 'id': 417416721, 'id_str': '417416721', 'indices': [0, 14]}], 'urls': []}"
